symbol,ratio,type,2020,2021,2022,2023
AALI,Cash Ratio,Liquidity,0.4862722914177135,0.6315598829339527,0.5148068208553688,0.482815281567568
AALI,Current Ratio,Liquidity,3.312619316197547,1.579460156674154,3.600013444140328,1.833576369328162
AALI,DER,Solvency,0.2999032182014413,0.2762671301571855,0.1869470615642281,0.1819151441596344
AALI,Debt Ratio,Solvency,0.2024364219137733,0.1873823228269192,0.1385934520231909,0.1388413735542614
AALI,GPM,Profitability,0.1575415656783472,0.1985858263251515,0.175096825993029,0.1335703456845741
AALI,NPM,Profitability,0.0442967031021304,0.0810525906371042,0.0790984173005028,0.0508977066948533
AALI,Operating Margin,Profitability,0.0982875936424455,0.1413489933084582,0.1086021539365504,0.0607358530702095
AALI,Quick Ratio,Liquidity,1.9604693094472208,1.0232942576298625,1.9461864185930515,1.0552558498004063
AALI,ROE,Profitability,0.0444255598442297,0.095608256618397,0.079625717296092,0.047960339833971
AALI,ROI,Profitability,0.0341760518953845,0.0749124179094245,0.0670844723193944,0.0405784967482347
ABBA,Cash Ratio,Liquidity,0.0723660825422305,0.0341519741822739,0.2319577543403974,0.0828213733071657
ABBA,Current Ratio,Liquidity,0.3952103585893552,0.3604771143820401,1.076424479582981,0.5511256114330773
ABBA,DER,Solvency,-10.671251153295852,0.3766397972836851,0.7174250551559839,5.242856468510139
ABBA,Debt Ratio,Solvency,0.4709652674019832,0.1961199719045249,0.2687657243292352,0.3733786562951657
ABBA,GPM,Profitability,0.4825991237419673,0.4581161309018253,0.4222250887530024,0.2948776503189477
ABBA,NPM,Profitability,-0.283064327063023,-0.131980975130775,-0.129364453388997,-0.2176808649422207
ABBA,Operating Margin,Profitability,-0.3185094108665158,-0.1843931715671585,-0.1404844986563351,-0.2337434901743377
ABBA,Quick Ratio,Liquidity,0.3589517484932339,0.32769589535626,1.0516199137286808,0.5314044892392739
ABBA,ROE,Profitability,4.589519356490645,-0.0815482332436025,-0.1511475182638351,-2.263403564898383
ABBA,ROI,Profitability,-0.5049463086124061,-0.0603886650573926,-0.0902070794387579,-0.3734009385014868
ABDA,NPM,Profitability,0.1523419493762886,0.199552377039325,0.1209115855446727,0.0971605645174988
ABDA,ROE,Profitability,0.099630714870054,0.1040735103257169,0.0605437767915847,0.05461060241786
ABDA,ROI,Profitability,0.099630714870054,0.1040735103257169,0.0605437767915847,0.05461060241786
ABMM,Cash Ratio,Liquidity,0.0704385562004853,0.1055786068687221,0.0645581312804099,0.0848353458564955
ABMM,Current Ratio,Liquidity,1.1959299586892589,1.652334986148174,1.1454459458010928,0.9858177349624307
ABMM,DER,Solvency,2.300243592927962,1.1143458770149828,1.7056787269231568,1.3704185296272284
ABMM,Debt Ratio,Solvency,0.5142438236567701,0.3715756801550557,0.4734955083474815,0.4823027432070786
ABMM,GPM,Profitability,0.1674039878433141,0.3585176202949,0.361047657395067,0.2625896379119529
ABMM,Interest Coverage Ratio,Solvency,0.3712597926774836,5.27868079773009,7.540415576860157,2.8803560622304154
ABMM,NPM,Profitability,-0.0588044084081193,0.1448369386829875,0.1867207300359032,0.1935705146983716
ABMM,Operating Margin,Profitability,0.066498703010499,0.2970079562547193,0.2737628196733744,0.204706863486036
ABMM,Quick Ratio,Liquidity,1.0523569119404197,1.5199095206024795,1.055253412370557,0.9014743892082084
ABMM,ROE,Profitability,-0.1928186601932051,0.4281450733411428,0.4904218591419365,0.3807543459734402
ABMM,ROI,Profitability,-0.0624883051590662,0.2221370313944202,0.1926410283363197,0.1727363106713724
ACES,Cash Ratio,Liquidity,0.2329746049786236,0.8266404148630019,0.9321658735601276,0.6599308187135176
ACES,Current Ratio,Liquidity,5.958776183673139,7.185936412098564,8.007136806017325,7.415130604576036
ACES,DER,Solvency,0.1564245635322797,0.1504276060452457,0.1202498277513516,0.1424522264550297
ACES,Debt Ratio,Solvency,0.1154578835070183,0.1163491792630384,0.0977002146951508,0.1128732053840635
ACES,GPM,Profitability,0.4936323870368337,0.4909782598980912,0.4832245761165369,0.4858320847048604
ACES,Interest Coverage Ratio,Solvency,11.997990312017771,12.267917467316128,14.939052632888774,14.863519017806553
ACES,NPM,Profitability,0.0989098220779887,0.1055681248502585,0.0982348339561783,0.10030490301244
ACES,Operating Margin,Profitability,0.1150702916206925,0.1182168806884323,0.1103624338440635,0.1133527783967801
ACES,Quick Ratio,Liquidity,3.0553020948178955,3.908668901349819,3.8105102427769655,3.925266698239241
ACES,ROE,Profitability,0.1376451653427608,0.1245403015213317,0.1127944849199361,0.1242815928694588
ACES,ROI,Profitability,0.1376451653427608,0.1245403015213317,0.1127944849199361,0.1242815928694588
ACST,Cash Ratio,Liquidity,0.0,0.0037324116888891,0.0367019210200415,0.0457822286613801
ACST,Current Ratio,Liquidity,0.8435650592592734,1.40323858491159,1.1496880336713295,0.9985521110975938
ACST,DER,Solvency,3.931466347026988,0.0475384084971598,0.0344934882280917,0.1157772981290136
ACST,Debt Ratio,Solvency,0.3542829610494693,0.0208047482705742,0.0105024859973169,0.0166135000931469
ACST,GPM,Profitability,-0.2456275961472199,-0.0988090355670244,-0.3008544947775516,-0.0170413484970876
ACST,NPM,Profitability,-1.0986193457646736,-0.4653525759180448,-0.4329424132244158,-0.1149747322779083
